Model,R²,RMSE,MAE,MSE,MAPE
GRU (Baseline),0.8055622112762789,0.130300347273053,0.08733094388497012,0.016978180499478215,2829143522426.738
Transformer ST (Proposed),0.749809262397386,0.14780558690030238,0.10707376636774671,0.02184649151894284,2552956731248.1934
